df3
;result;reco;date;total_electorate;question;tags;theme;results;recommendation;congruence;weight;congruence_weighted;year;compteur
1843;Yes;Rejection;2005-11-27;4860166;;['agricultural policy', 'genetic engineering', 'environmental policy'];1;1;0;1;0.5584472021142135;0.5584472021142135;2005;1
1996;No;Rejection;2004-09-26;4814898;;['post'];?;0;0;0;0.5532457773181662;0.0;2004;1
2093;Yes;Rejection;2004-02-08;4789871;;['criminal law', 'public security'];6;1;0;1;0.5503701022635873;0.5503701022635873;2004;1
2156;No;Rejection;2003-05-18;4764888;;['professional and vocational education', 'children and young people', 'employment policy'];5;0;0;0;0.5474994829369183;0.0;2003;1
2157;No;Rejection;2003-05-18;4764888;;['nuclear energy', 'environmental policy'];1;0;0;0;0.5474994829369183;0.0;2003;1
2158;No;Rejection;2003-05-18;4764888;;['nuclear energy', 'environmental policy'];1;0;0;0;0.5474994829369183;0.0;2003;1
2159;No;Rejection;2003-05-18;4764888;;['persons with disabilities', 'fundamental rights'];2;0;0;0;0.5474994829369183;0.0;2003;1
2160;No;Rejection;2003-05-18;4764888;;['health and accident insurance'];3;0;0;0;0.5474994829369183;0.0;2003;1
2161;No;Rejection;2003-05-18;4764888;;['road transport'];7;0;0;0;0.5474994829369183;0.0;2003;1
2162;No;Rejection;2003-05-18;4764888;;['tenancy issues'];?;0;0;0;0.5474994829369183;0.0;2003;1
2215;No;Rejection;2002-11-24;4749962;;['unemployment insurance'];5;0;0;0;0.5457844421463863;0.0;2002;1
2240;No;Rejection;2002-09-22;4743888;;['monetary policy', 'pension insurance', 'intergovernmental relations'];7;0;0;0;0.5450865218890038;0.0;2002;1
2276;No;Rejection;2002-06-02;4731017;;['criminal law', 'fundamental rights', 'status of women'];2;0;0;0;0.5436076065724463;0.0;2002;1
2317;No;Rejection;2002-03-03;4721320;;['working hours'];5;0;0;0;0.5424933930828449;0.0;2002;1
2318;Yes;Acceptance;2002-03-03;4721320;;['UN'];6;1;1;0;0.5424933930828449;0.0;2002;1
2334;No;Rejection;2001-12-02;4712223;;['direct taxation'];7;0;0;0;0.5414481213374699;0.0;2001;1
2335;No;Rejection;2001-12-02;4712223;;['conscientious objection, civilian service'];6;0;0;0;0.5414481213374699;0.0;2001;1
2336;No;Rejection;2001-12-02;4712223;;['abolition of the armed forces'];6;0;0;0;0.5414481213374699;0.0;2001;1
2337;No;Rejection;2001-12-02;4712223;;['energy policy', 'indirect taxation', 'pension insurance'];7;0;0;0;0.5414481213374699;0.0;2001;1
2422;No;Rejection;2001-03-04;4688585;;['road transport', 'environmental policy'];1;0;0;0;0.5387320464207744;0.0;2001;1
2423;No;Rejection;2001-03-04;4688585;;['medicines'];3;0;0;0;0.5387320464207744;0.0;2001;1
2424;No;Rejection;2001-03-04;4688585;;['EU'];6;0;0;0;0.5387320464207744;0.0;2001;1
2455;No;Rejection;2000-11-26;4680971;;['health policy', 'health and accident insurance'];3;0;0;0;0.5378571756865449;0.0;2000;1
2456;No;Rejection;2000-11-26;4680971;;['armed forces in general'];6;0;0;0;0.5378571756865449;0.0;2000;1
2457;No;Rejection;2000-11-26;4680971;;['pension insurance', 'status of women'];2;0;0;0;0.5378571756865449;0.0;2000;1
2458;No;Rejection;2000-11-26;4680971;;['pension insurance', 'status of women'];2;0;0;0;0.5378571756865449;0.0;2000;1
2496;No;Rejection;2000-09-24;4676509;;['alternative energy', 'indirect taxation', 'environmental policy'];1;0;0;0;0.5373444789153166;0.0;2000;1
2497;No;Rejection;2000-09-24;4676509;;['referendum'];6;0;0;0;0.5373444789153166;0.0;2000;1
2498;No;Rejection;2000-09-24;4676509;;['immigration policy'];2;0;0;0;0.5373444789153166;0.0;2000;1
2566;No;Rejection;2000-03-12;4659113;;['transport policy', 'environmental policy'];1;0;0;0;0.535345627944387;0.0;2000;1
2567;No;Rejection;2000-03-12;4659113;;['reproductive medicine', 'research'];3;0;0;0;0.535345627944387;0.0;2000;1
2568;No;Rejection;2000-03-12;4659113;;['status of women', 'institutions', 'electoral system'];6;0;0;0;0.535345627944387;0.0;2000;1
2569;No;Rejection;2000-03-12;4659113;;"[""citizens' initiatives"", 'procedure for constitutional reform']";6;0;0;0;0.535345627944387;0.0;2000;1
2707;No;None;1999-02-07;4641575;;['building of residential housing, property ownership', 'tax system'];7;0;0;0;0.5333304607606573;0.0;1999;1
2727;No;None;1998-11-29;4638305;;['addictive substances'];3;0;0;0;0.5329547282546249;0.0;1998;1
2762;No;None;1998-09-27;4637498;;['pension insurance', 'status of women'];2;0;0;0;0.5328620016086407;0.0;1998;1
2763;No;None;1998-09-27;4637498;;['agricultural policy', 'environmental policy'];2;0;0;0;0.5328620016086407;0.0;1998;1
2820;No;None;1998-06-07;4629396;;['state security', 'fundamental rights', 'police'];6;0;0;0;0.5319310582557739;0.0;1998;1
2821;No;None;1998-06-07;4629396;;['genetic engineering', 'environmental policy', 'medical research and technology'];1;0;0;0;0.5319310582557739;0.0;1998;1
2913;No;None;1997-09-28;4618943;;['addictive substances', 'children and young people'];2;0;0;0;0.5307299781684477;0.0;1997;1
2955;No;None;1997-06-08;4614860;;['foreign trade policy', 'arms'];6;0;0;0;0.5302608295989889;0.0;1997;1
2956;No;None;1997-06-08;4614860;;['EU', 'referendum'];6;0;0;0;0.5302608295989889;0.0;1997;1
3033;No;None;1996-12-01;4612166;;['refugees'];2;0;0;0;0.5299512811674135;0.0;1996;1
3249;No;None;1995-06-25;4591795;;['pension insurance', 'disability insurance'];2;0;0;0;0.5276105940480295;0.0;1995;1
3371;No;None;1994-12-04;4602535;;['health and accident insurance'];3;0;0;0;0.5288446512696772;0.0;1994;1
3510;Yes;None;1994-02-20;4563421;;['transit traffic', 'environmental policy', 'air quality control'];1;1;0;0;0.5243503389635757;0.0;1994;1
3529;No;None;1993-11-28;4565751;;['addictive substances', 'children and young people'];3;0;0;0;0.5246180627369873;0.0;1993;1
3530;No;None;1993-11-28;4565751;;['addictive substances', 'children and young people'];3;0;0;0;0.5246180627369873;0.0;1993;1
3566;Yes;None;1993-09-26;4553754;;['national identity', 'working hours'];5;1;0;0;0.5232395725611858;0.0;1993;1
3589;No;None;1993-06-06;4559258;;['arms'];6;0;0;0;0.5238719981615535;0.0;1993;1
3590;No;None;1993-06-06;4559258;;['military facilities', 'protection of nature and cultural heritage'];1;0;0;0;0.5238719981615535;0.0;1993;1
3667;No;None;1993-03-07;4551501;;['animal testing', 'medical research and technology', 'livestock'];3;0;0;0;0.5229806963116167;0.0;1993;1
3766;No;None;1992-05-17;4516994;;['criminal law', 'children and young people', 'status of women'];6;0;0;0;0.5190157416982649;0.0;1992;1
3820;No;None;1992-02-16;4515485;;['animal testing', 'medical research and technology', 'livestock'];3;0;0;0;0.5188423532115363;0.0;1992;1
3821;No;None;1992-02-16;4515485;;['health and accident insurance'];3;0;0;0;0.5188423532115363;0.0;1992;1
3964;No;None;1991-03-03;4349841;;['transport policy', 'environmental policy'];1;0;0;0;0.49980937607721476;0.0;1991;1
4022;Yes;None;1990-09-23;4345490;;['nuclear energy', 'environmental policy'];1;1;0;0;0.4993094335286683;0.0;1990;1
4023;No;None;1990-09-23;4345490;;['nuclear energy', 'environmental policy'];1;0;0;0;0.4993094335286683;0.0;1990;1
4119;No;None;1990-04-01;4326360;;['road construction', 'protection of nature and cultural heritage'];1;0;0;0;0.4971113409169252;0.0;1990;1
4120;No;None;1990-04-01;4326360;;['road construction', 'protection of nature and cultural heritage'];1;0;0;0;0.4971113409169252;0.0;1990;1
4121;No;None;1990-04-01;4326360;;['road construction', 'protection of nature and cultural heritage'];1;0;0;0;0.4971113409169252;0.0;1990;1
4122;No;None;1990-04-01;4326360;;['road construction', 'protection of nature and cultural heritage'];1;0;0;0;0.4971113409169252;0.0;1990;1
4138;No;None;1989-11-26;4320988;;['road transport', 'air quality control'];3;0;0;0;0.49649408250028726;0.0;1989;1
4139;No;None;1989-11-26;4320988;;['abolition of the armed forces'];6;0;0;0;0.49649408250028726;0.0;1989;1
4201;No;None;1989-06-04;4304445;;['agricultural policy', 'environmental policy'];1;0;0;0;0.4945932437090658;0.0;1989;1
4283;No;None;1988-12-04;4285518;;['immigration policy'];2;0;0;0;0.4924184763874526;0.0;1988;1
4284;No;None;1988-12-04;4285518;;['working hours'];5;0;0;0;0.4924184763874526;0.0;1988;1
4285;No;None;1988-12-04;4285518;;['land law'];2;0;0;0;0.4924184763874526;0.0;1988;1
4336;No;None;1988-06-12;4265677;;['pension insurance', 'status of women'];2;0;0;0;0.49013868780880154;0.0;1988;1
4444;Yes;None;1987-12-06;4251027;;['military facilities', 'protection of nature and cultural heritage'];1;1;0;0;0.4884553602206136;0.0;1987;1
4569;No;None;1987-04-05;4223673;;['arms', 'referendum'];6;0;0;0;0.48531230610134435;0.0;1987;1
4599;No;None;1986-12-07;4210819;;['heavy traffic', 'indirect taxation', 'environmental policy'];7;0;0;0;0.4838353441342066;0.0;1986;1
4629;No;None;1986-09-28;4202989;;['professional and vocational education'];2;0;0;0;0.4829356543720556;0.0;1986;1
4630;No;None;1986-09-28;4202989;;['cultural policy', 'division of tasks'];6;0;0;0;0.4829356543720556;0.0;1986;1
4746;No;None;1985-12-01;4166145;;['animal testing', 'livestock', 'medical research and technology'];3;0;0;0;0.4787021716649431;0.0;1985;1
4827;No;None;1985-06-09;4144413;;['fundamental rights', 'status of women', 'criminal law'];2;0;0;0;0.4762051016890727;0.0;1985;1
4890;No;None;1985-03-10;4134052;;['working hours'];5;0;0;0;0.47501459266919455;0.0;1985;1
4924;No;None;1984-12-02;4123179;;['maternity insurance', 'status of women'];2;0;0;0;0.47376525336091;0.0;1984;1
4960;No;None;1984-09-23;4113911;;['energy policy', 'environmental policy'];1;0;0;0;0.4727003332184304;0.0;1984;1
4961;No;None;1984-09-23;4113911;;['nuclear energy', 'environmental policy'];1;0;0;0;0.4727003332184304;0.0;1984;1
4996;No;None;1984-05-20;4097762;;['land law', 'immigration policy'];2;0;0;0;0.47084476617258414;0.0;1984;1
4997;No;None;1984-05-20;4097762;;['banks, stock exchange, insurance', 'tax policy'];7;0;0;0;0.47084476617258414;0.0;1984;1
5046;No;None;1984-02-26;4087715;;['conscientious objection, civilian service'];6;0;0;0;0.4696903366655176;0.0;1984;1
5215;Yes;None;1982-11-28;4023726;;['pricing policy', 'consumer protection'];7;1;0;0;0.462337814546708;0.0;1982;1
5490;No;None;1981-04-05;3947890;;['immigration policy', 'employment policy'];2;0;0;0;0.4536240376881535;0.0;1981;1
5673;No;None;1980-03-02;3907773;;['religion, churches', 'intergovernmental relations', 'tax policy'];7;0;0;0;0.4490144777662875;0.0;1980;1
5804;No;None;1979-02-18;3867603;;"['nuclear energy', 'environmental policy', ""citizens' rights""]";1;0;0;0;0.44439882799034813;0.0;1979;1
5805;No;None;1979-02-18;3867603;;['addictive substances'];3;0;0;0;0.44439882799034813;0.0;1979;1
5901;No;None;1978-05-28;3835650;;['road transport', 'environmental policy'];1;0;0;0;0.44072733540158565;0.0;1978;1
5961;No;None;1978-02-26;3821750;;['pension insurance'];2;0;0;0;0.43913018499368034;0.0;1978;1
5963;No;None;1978-02-26;3821750;;['road construction', 'protection of nature and cultural heritage', 'referendum'];1;0;0;0;0.43913018499368034;0.0;1978;1
5983;No;None;1977-12-04;3816824;;['direct taxation'];7;0;0;0;0.4385641732735838;0.0;1977;1
6010;No;None;1977-09-25;3811426;;['status of women', 'criminal law'];2;0;0;0;0.43794392738136273;0.0;1977;1
6013;No;None;1977-09-25;3811426;;['air quality control', 'road transport'];3;0;0;0;0.43794392738136273;0.0;1977;1
6014;No;None;1977-09-25;3811426;;['tenancy issues'];?;0;0;0;0.43794392738136273;0.0;1977;1
6101;No;None;1977-03-13;3785693;;['referendum', 'position on foreign policy'];6;0;0;0;0.4349871308744111;0.0;1977;1
6102;No;None;1977-03-13;3785693;;['immigration policy', 'citizenship'];2;0;0;0;0.4349871308744111;0.0;1977;1
6103;No;None;1977-03-13;3785693;;['immigration policy'];2;0;0;0;0.4349871308744111;0.0;1977;1
6132;No;None;1976-12-05;3772466;;['working hours'];5;0;0;0;0.4334673101229461;0.0;1976;1
6158;No;None;1976-09-26;3766161;;['road transport'];1;0;0;0;0.43274284729403656;0.0;1976;1
6244;No;None;1976-03-21;3750162;;['tax policy'];7;0;0;0;0.4309045156842468;0.0;1976;1
6245;No;None;1976-03-21;3750162;;['industrial relations'];6;0;0;0;0.4309045156842468;0.0;1976;1
6407;No;None;1974-12-08;3706105;;['health and accident insurance'];3;0;0;0;0.4258422383086292;0.0;1974;1
6433;No;None;1974-10-20;3702498;;['immigration policy'];2;0;0;0;0.42542778352292315;0.0;1974;1
6697;No;None;1972-12-03;3628891;;['pension insurance', 'occupational benefits provision'];2;0;0;0;0.41697012524416865;0.0;1972;1
6722;No;None;1972-09-24;3620937;;['arms', 'foreign trade policy'];6;0;0;0;0.4160561875215443;0.0;1972;1
6852;No;None;1972-03-05;3600759;;['building of residential housing, property ownership'];7;0;0;0;0.4137376766632196;0.0;1972;1
7100;No;None;1970-09-27;1648062;;['tenancy issues', 'family policy', 'fundamental rights'];2;0;0;0;0.18936711478800414;0.0;1970;1
7136;No;None;1970-06-07;1641777;;['immigration policy', 'employment policy'];2;0;0;0;0.18864495001723544;0.0;1970;1
7265;No;None;1967-07-02;1591621;;['land law'];2;0;0;0;0.18288187981155923;0.0;1967;1
7266;No;None;1966-10-16;1580573;;['addictive substances', 'indirect taxation', 'pension insurance'];3;0;0;0;0.18161243249454212;0.0;1966;1
7276;No;None;1963-05-26;1523595;;['arms', 'referendum', 'legislative procedure'];6;0;0;0;0.17506549465701482;0.0;1963;1
7280;No;None;1962-04-01;1510038;;['arms'];6;0;0;0;0.17350775594622544;0.0;1962;1
7282;No;None;1961-10-22;1502509;;"[""citizens' initiatives"", 'legislative procedure']";6;0;0;0;0.17264265195909456;0.0;1961;1
7291;No;None;1958-10-26;1476963;;['working hours'];5;0;0;0;0.1697073422957601;0.0;1958;1
7295;No;None;1958-01-26;1469853;;['competition policy'];4;0;0;0;0.16889038262668046;0.0;1958;1
7303;No;None;1956-05-13;1454269;;['hydro-electric power', 'referendum', 'protection of nature and cultural heritage'];1;0;0;0;0.1670997357233138;0.0;1956;1
7306;No;None;1955-03-13;1447187;;['pricing policy', 'tenancy issues', 'consumer protection'];7;0;0;0;0.1662859933356314;0.0;1955;1
7307;No;None;1954-12-05;1442668;;['hydro-electric power', 'protection of nature and cultural heritage'];1;0;0;0;0.1657667470987016;0.0;1954;1
7319;No;None;1952-05-18;1418727;;['arms', 'direct taxation', 'social security'];7;0;0;0;0.16301585660117202;0.0;1952;1
7320;No;None;1952-04-20;1417918;;['indirect taxation'];7;0;0;0;0.16292290014937377;0.0;1952;1
7323;No;None;1951-07-08;1409091;;['direct taxation', 'armed forces in general'];7;0;0;0;0.16190865218890038;0.0;1951;1
7325;No;None;1951-04-15;1408275;;['monetary policy', 'national bank'];7;0;0;0;0.16181489141675284;0.0;1951;1
7329;No;None;1950-10-01;1400891;;['land law', 'agricultural policy'];1;0;0;0;0.1609664483511433;0.0;1950;1
7333;Yes;None;1949-09-11;1389856;;['legislative procedure', 'government, administration', 'referendum'];6;1;0;0;0.15969849477191772;0.0;1949;1
7339;No;None;1947-05-18;1364771;;['economic policy', 'employment'];5;0;0;0;0.15681615534873034;0.0;1947;1
7340;No;None;1946-12-08;1359392;;['employment policy', 'unemployment insurance', 'fundamental rights'];5;0;0;0;0.15619809261174308;0.0;1946;1
7345;No;None;1942-05-03;1283487;;['parliament', 'electoral system'];6;0;0;0;0.14747638745260255;0.0;1942;1
7346;No;None;1942-01-25;1278688;;"['government, administration', 'electoral system', ""citizens' rights""]";6;0;0;0;0.14692496840170055;0.0;1942;1
7347;No;None;1941-03-09;1261361;;['addictive substances', 'crop production'];3;0;0;0;0.14493404573135701;0.0;1941;1
7352;No;None;1939-01-22;1223536;;['courts', 'legislative procedure', 'referendum'];6;0;0;0;0.1405878432724348;0.0;1939;1
7356;No;None;1938-02-20;1216756;;['arms', 'structural policy'];6;0;0;0;0.13980880156267952;0.0;1938;1
7357;No;None;1938-02-20;1216756;;['parliament', 'legislative procedure', 'referendum'];6;0;0;0;0.13980880156267952;0.0;1938;1
7359;No;None;1937-11-28;1187637;;['state security', 'fundamental rights'];2;0;0;0;0.13646294381247845;0.0;1937;1
7360;No;None;1935-09-08;1193941;;['constitution'];6;0;0;0;0.137187291738481;0.0;1935;1
7361;No;None;1935-06-02;1194129;;['short-term economic policy', 'employment policy', 'monetary policy'];5;0;0;0;0.13720889348500517;0.0;1935;1
7372;No;None;1929-05-12;1075950;;['addictive substances'];3;0;0;0;0.12362978283350569;0.0;1929;1
7373;No;None;1929-05-12;1075950;;['road transport', 'intergovernmental relations', 'indirect taxation'];7;0;0;0;0.12362978283350569;0.0;1929;1
7375;No;None;1929-03-03;1071934;;['crop production', 'national economic supply'];1;0;0;0;0.1231683327588188;0.0;1929;1
7377;Yes;None;1928-12-02;1067754;;['structural policy', 'lottery and gambling'];3;1;0;0;0.12268803860737677;0.0;1928;1
7384;No;None;1925-05-24;1008865;;['pension insurance', 'direct taxation'];2;0;0;0;0.11592152131448925;0.0;1925;1
7387;No;None;1923-04-15;990202;;['customs', 'referendum'];6;0;0;0;0.11377708836033551;0.0;1923;1
7389;No;None;1923-02-18;989661;;['state security', 'fundamental rights', 'criminal law'];6;0;0;0;0.11371492588762495;0.0;1923;1
